nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
32,0,87,22,5.4375,8,0.17540322580645162,3.7264150943396226,11,0.057093253968253974
32,0,87,23,5.4375,10,0.17540322580645162,2.602112676056338,7,0.11164434523809523
32,0,88,23,5.5,10,0.1774193548387097,3.716666666666667,10,0.08389136904761904
32,0,89,25,5.5625,10,0.17943548387096775,3.75,8,0.06323578042328042
32,0,86,24,5.375,9,0.17338709677419356,3.6694045174537986,10,0.05078125000000001
32,0,87,22,5.4375,10,0.17540322580645162,3.565410199556541,9,0.016369047619047616
31,0,86,21,5.548387096774194,10,0.1849462365591398,3.7751004016064256,10,0.02085253456221198
32,0,87,23,5.4375,10,0.17540322580645162,3.0140056022408963,7,0.05314566798941799
32,0,89,24,5.5625,11,0.17943548387096775,2.9785714285714286,7,0.05569196428571428
32,0,86,22,5.375,10,0.17338709677419356,3.6666666666666665,12,0.09787946428571426
