nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
32,0,94,27,5.875,9,0.18951612903225806,3.6773333333333333,10,0.028054511278195485
32,0,93,20,5.8125,9,0.1875,3.8265179677819083,10,0.07558697089947092
32,0,92,22,5.75,11,0.18548387096774194,3.5167130919220058,8,0.06468667328042328
31,0,89,25,5.741935483870968,14,0.1913978494623656,3.0534188034188032,7,0.0532642089093702
32,0,93,25,5.8125,10,0.1875,3.625,8,0.04675099206349206
32,0,93,25,5.8125,10,0.1875,4.433849821215733,13,0.028311011904761905
32,0,91,21,5.6875,11,0.18346774193548387,3.2440119760479043,7,0.05849041005291006
32,0,88,23,5.5,10,0.1774193548387097,3.3421926910299002,7,0.05412946428571428
32,0,87,24,5.4375,10,0.17540322580645162,3.30625,10,0.04553571428571429
32,0,93,22,5.8125,10,0.1875,3.8006912442396312,10,0.02306547619047619
