nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
32,0,91,27,5.6875,9,0.18346774193548387,3.8059332509270702,9,0.049627976190476195
32,0,92,27,5.75,12,0.18548387096774194,4.0545229244114,11,0.044444444444444446
32,0,91,24,5.6875,11,0.18346774193548387,3.7284122562674096,8,0.04739583333333334
32,0,92,25,5.75,9,0.18548387096774194,4.329749103942652,11,0.044791666666666674
32,0,91,23,5.6875,11,0.18346774193548387,3.9094540612516644,10,0.048276289682539685
32,0,92,27,5.75,12,0.18548387096774194,3.595446584938704,10,0.0481349957912458
32,0,91,28,5.6875,11,0.18346774193548387,3.5603603603603604,10,0.02857142857142857
32,0,92,26,5.75,10,0.18548387096774194,3.643609022556391,10,0.03087797619047619
32,0,93,28,5.8125,10,0.1875,3.4780635400907713,9,0.04275793650793651
32,0,92,24,5.75,10,0.18548387096774194,3.712566844919786,9,0.03898809523809524
