nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
16,0,42,15,5.25,8,0.35,2.2637362637362637,5,0.1255952380952381
16,0,41,16,5.125,7,0.3416666666666667,2.3655913978494625,5,0.1048611111111111
16,0,41,14,5.125,9,0.3416666666666667,2.013333333333333,5,0.08645833333333333
15,0,40,14,5.333333333333333,10,0.38095238095238093,2.896551724137931,7,0.1344017094017094
16,0,41,15,5.125,8,0.3416666666666667,2.026666666666667,5,0.043303571428571434
16,0,41,14,5.125,7,0.3416666666666667,2.2795698924731185,6,0.09183114035087721
16,0,41,15,5.125,8,0.3416666666666667,2.2,5,0.06770833333333334
16,0,41,14,5.125,9,0.3416666666666667,1.7258064516129032,4,0.08311011904761906
16,0,43,15,5.375,8,0.35833333333333334,2.4070796460176993,5,0.08052884615384615
16,0,41,14,5.125,9,0.3416666666666667,2.32967032967033,7,0.11661706349206351
