nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
9,0,8,1,1.7777777777777777,4,0.2222222222222222,1.2222222222222223,2,0.0
8,0,8,1,2.0,4,0.2857142857142857,1.2222222222222223,2,0.0
8,0,8,1,2.0,4,0.2857142857142857,1.2222222222222223,2,0.0
12,0,10,1,1.6666666666666667,4,0.15151515151515152,1.1818181818181819,2,0.0
9,0,8,1,1.7777777777777777,4,0.2222222222222222,1.2222222222222223,2,0.0
0,0,0,0,0.0,0,0.0,0.0,0,0.0
8,0,8,1,2.0,4,0.2857142857142857,1.2222222222222223,2,0.0
8,0,8,1,2.0,4,0.2857142857142857,1.2222222222222223,2,0.0
8,0,8,1,2.0,4,0.2857142857142857,1.2222222222222223,2,0.0
7,0,8,1,2.2857142857142856,4,0.38095238095238093,1.2222222222222223,2,0.0
