nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
32,0,487,0,30.4375,47,0.9818548387096774,1.5262096774193548,3,0.6373356736026403
32,0,492,0,30.75,47,0.9919354838709677,1.5453629032258065,4,0.6237406516192342
32,0,487,0,30.4375,46,0.9818548387096774,1.5362903225806452,3,0.621407480281371
32,0,484,0,30.25,45,0.9758064516129032,1.5403225806451613,3,0.6112938944703422
32,0,492,0,30.75,45,0.9919354838709677,1.5262096774193548,3,0.6211246993493331
32,0,484,0,30.25,46,0.9758064516129032,1.529233870967742,3,0.6217522641290463
32,0,496,0,31.0,46,1.0,1.5161290322580645,3,0.6240274339813559
32,0,488,0,30.5,45,0.9838709677419355,1.5463709677419355,3,0.6163808759731597
32,0,475,0,29.6875,45,0.9576612903225806,1.5745967741935485,4,0.6354561055328013
32,0,504,0,31.5,47,1.0161290322580645,1.5131048387096775,3,0.6343403823890709
