nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
32,0,347,0,21.6875,39,0.6995967741935484,1.7127016129032258,3,0.4567291147361391
32,0,336,0,21.0,41,0.6774193548387096,1.7288306451612903,3,0.45130657040736594
32,0,347,0,21.6875,44,0.6995967741935484,1.7076612903225807,3,0.4899840416421258
32,0,343,0,21.4375,39,0.6915322580645161,1.7227822580645162,4,0.45018192278735175
32,0,361,0,22.5625,40,0.7278225806451613,1.6995967741935485,3,0.46680101156920695
32,0,315,0,19.6875,41,0.6350806451612904,1.8618951612903225,4,0.4479114341895369
32,0,299,0,18.6875,38,0.6028225806451613,1.8293444328824142,4,0.42752650942030584
32,0,327,0,20.4375,36,0.6592741935483871,1.7711693548387097,3,0.4520677334138046
32,0,326,0,20.375,39,0.657258064516129,1.7762096774193548,4,0.4492652744729686
32,0,328,0,20.5,45,0.6612903225806451,1.7560483870967742,3,0.478793417721867
