nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
32,0,350,0,21.875,38,0.7056451612903226,1.7913978494623657,5,0.5502499195461961
32,0,340,0,21.25,36,0.6854838709677419,1.8480749219562955,5,0.5118334283384758
32,0,351,0,21.9375,39,0.7076612903225806,1.793964620187305,5,0.532087312206134
32,0,348,0,21.75,39,0.7016129032258065,1.8178980228928199,5,0.5252167804904426
32,0,358,0,22.375,41,0.7217741935483871,1.8678459937565037,5,0.5254865703778311
0,0,0,0,0.0,0,0.0,0.0,0,0.0
32,0,345,0,21.5625,39,0.6955645161290323,1.8679435483870968,5,0.527572414815696
32,0,330,0,20.625,37,0.6653225806451613,1.8901209677419355,5,0.490644964754641
32,0,350,0,21.875,40,0.7056451612903226,1.8616024973985432,5,0.5452939997427793
32,0,327,0,20.4375,35,0.6592741935483871,1.8595213319458896,5,0.4834383199676789
