nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
64,0,640,34,20.0,59,0.31746031746031744,2.1256873527101336,5,0.35321199530687597
64,0,640,26,20.0,69,0.31746031746031744,2.7978813559322036,9,0.40053901928954055
64,0,640,27,20.0,60,0.31746031746031744,3.4446646845061117,11,0.35623156022676217
64,0,634,32,19.8125,56,0.314484126984127,1.9122626988199076,4,0.31791527975233536
64,0,636,28,19.875,59,0.31547619047619047,2.0622362869198314,6,0.386321824196389
64,0,640,30,20.0,58,0.31746031746031744,2.084961767204758,5,0.33186826335235003
64,0,635,29,19.84375,60,0.3149801587301587,2.2107947301317465,6,0.3545066643615446
64,0,640,29,20.0,56,0.31746031746031744,2.05156382079459,4,0.34786856202291283
64,0,640,26,20.0,63,0.31746031746031744,2.302573203194321,6,0.37280519318707334
64,0,640,29,20.0,56,0.31746031746031744,2.415175375805297,7,0.31777072568368253
