nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
64,0,161,16,5.03125,12,0.0798611111111111,4.4541958041958045,11,0.06688929517514076
64,0,205,15,6.40625,13,0.10168650793650794,3.7739268680445153,9,0.04495803675491176
64,0,217,19,6.78125,14,0.1076388888888889,3.564946619217082,8,0.06228805042395159
64,0,193,18,6.03125,14,0.09573412698412699,3.8216606498194947,10,0.053827934760551956
64,0,202,17,6.3125,13,0.1001984126984127,3.754473872584109,9,0.04512611231361231
64,0,233,21,7.28125,16,0.11557539682539683,3.4335766423357663,8,0.06098356662129483
64,0,193,16,6.03125,13,0.09573412698412699,3.959798994974874,10,0.05632813367188366
64,0,190,14,5.9375,13,0.09424603174603174,3.785553047404063,9,0.05477661805786806
64,0,194,15,6.0625,15,0.09623015873015874,3.8536189548847775,10,0.04625467125467126
64,0,210,16,6.5625,15,0.10416666666666667,3.6519837550765386,9,0.058203679933331066
