nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
16,0,32,7,4.0,8,0.26666666666666666,2.3118279569892475,5,0.12695932539682542
16,0,33,7,4.125,8,0.275,2.6534653465346536,6,0.11264880952380953
16,0,39,8,4.875,9,0.325,2.057471264367816,5,0.1628968253968254
16,0,42,11,5.25,9,0.35,2.514018691588785,6,0.138219246031746
16,0,35,9,4.375,8,0.2916666666666667,2.175,5,0.08333333333333331
16,0,46,11,5.75,13,0.38333333333333336,2.5444444444444443,6,0.15348932055889603
16,0,29,7,3.625,7,0.24166666666666667,2.76,6,0.041666666666666664
16,0,45,9,5.625,12,0.375,2.5089820359281436,6,0.33812919107036754
16,0,34,11,4.25,7,0.2833333333333333,2.103448275862069,5,0.1
16,0,52,7,6.5,10,0.43333333333333335,2.683333333333333,7,0.19791666666666666
