nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
16,0,47,10,5.875,12,0.39166666666666666,2.835897435897436,7,0.249311278998779
16,0,44,8,5.5,8,0.36666666666666664,1.793103448275862,4,0.09647054334554335
16,0,52,9,6.5,12,0.43333333333333335,2.3529411764705883,5,0.16862148268398267
16,0,44,11,5.5,8,0.36666666666666664,2.2857142857142856,5,0.1504464285714286
16,0,52,6,6.5,11,0.43333333333333335,2.247311827956989,6,0.23426556955448463
16,0,54,9,6.75,12,0.45,2.357142857142857,6,0.18823329851672874
16,0,54,7,6.75,16,0.45,2.2085308056872037,4,0.26066776744465703
16,0,36,9,4.5,8,0.3,2.08,5,0.1464285714285714
16,0,53,13,6.625,12,0.44166666666666665,2.5380434782608696,8,0.23629683462532297
16,0,45,8,5.625,11,0.375,2.0396825396825395,5,0.22680083396995163
