nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
16,0,37,9,4.625,14,0.30833333333333335,1.7397260273972603,3,0.12161458333333333
16,0,26,8,3.25,6,0.21666666666666667,2.2641509433962264,5,0.11979166666666666
16,0,31,9,3.875,10,0.25833333333333336,2.577777777777778,6,0.13675213675213677
16,0,40,9,5.0,10,0.3333333333333333,2.6805555555555554,6,0.19816468253968253
16,0,47,8,5.875,9,0.39166666666666666,2.9873417721518987,9,0.19910714285714287
16,0,38,6,4.75,8,0.31666666666666665,2.2291666666666665,6,0.10327380952380952
16,0,38,9,4.75,8,0.31666666666666665,2.577319587628866,6,0.07083333333333333
16,0,48,8,6.0,12,0.4,2.311377245508982,5,0.2659188612313612
16,0,30,8,3.75,9,0.25,1.9310344827586208,4,0.015376984126984126
