nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
1.4,0.0,1.2,0.1,0.5214285714285715,1.0,0.17857142857142855,0.3,0.3,0.0
1.7,0.0,1.7,0.9,1.8,2.6,0.0,0.8,0.8,0.0
1.3,0.0,1.1,0.5,1.05,1.4,0.11666666666666665,0.3,0.3,0.0
0.2,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0
2.5,0.0,2.5,0.9,1.8,3.2,0.8,0.8,0.8,0.0
1.7,0.0,1.8,1.0,1.2666666666666666,1.9,0.4,0.6,0.6,0.0
2.9,0.0,3.0,1.0,1.64,3.2,0.7,0.8,0.8,0.0
1.1,0.0,1.1,0.8,1.6,1.9,0.1,0.2,0.2,0.0
0.1,0.0,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.0
0.7,0.0,0.6,0.3,0.5599999999999999,0.7,0.04,0.1,0.1,0.0
