nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
64,0,172,35,5.375,12,0.08531746031746032,4.709831254585473,13,0.07453497023809523
64,0,189,42,5.90625,10,0.09375,4.210430009149131,9,0.03591269841269841
64,0,188,44,5.875,11,0.09325396825396826,4.490718562874251,9,0.020250496031746036
64,0,189,43,5.90625,12,0.09375,4.269207317073171,9,0.04892733134920635
64,0,189,37,5.90625,10,0.09375,4.248057196145477,11,0.04355572089947091
64,0,188,43,5.875,10,0.09325396825396826,4.391529259618493,10,0.030005787037037046
64,0,187,44,5.84375,10,0.09275793650793651,4.631040892193308,12,0.025927992724867722
64,0,188,42,5.875,11,0.09325396825396826,4.2879788639365914,10,0.02902819113756614
64,0,189,45,5.90625,11,0.09375,4.315392189038398,11,0.036259920634920645
64,0,187,43,5.84375,11,0.09275793650793651,4.241612903225806,9,0.036805555555555564
