nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
64,0,190,48,5.9375,11,0.09424603174603174,4.471393471393472,11,0.0320333167989418
64,0,192,53,6.0,12,0.09523809523809523,4.397857142857143,9,0.039304315476190475
64,0,190,50,5.9375,12,0.09424603174603174,4.521753681392235,10,0.04179067460317461
64,0,192,46,6.0,11,0.09523809523809523,4.404322766570605,10,0.05202752976190475
64,0,190,47,5.9375,11,0.09424603174603174,4.506466784244562,10,0.013405257936507936
64,0,188,51,5.875,12,0.09325396825396826,5.449347420758235,14,0.03089037698412699
64,0,191,51,5.96875,13,0.09474206349206349,4.784307288246882,12,0.03910176917989418
64,0,192,52,6.0,12,0.09523809523809523,4.240404040404041,11,0.03975243506493507
64,0,192,51,6.0,10,0.09523809523809523,4.8091168091168095,13,0.017578124999999997
64,0,192,49,6.0,14,0.09523809523809523,4.041939207387457,9,0.02384165313852814
