nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
64,0,186,45,5.8125,11,0.09226190476190477,3.928985507246377,10,0.03890128968253969
63,0,184,45,5.841269841269841,11,0.09421402969790066,4.593823299452698,14,0.04685689090450996
64,0,185,44,5.78125,12,0.09176587301587301,4.689755154639175,11,0.052839781746031746
64,0,187,48,5.84375,10,0.09275793650793651,4.654401650618982,13,0.02801339285714286
64,0,185,44,5.78125,13,0.09176587301587301,4.25615763546798,9,0.059770698051948054
64,0,186,43,5.8125,11,0.09226190476190477,4.47108345534407,11,0.042596726190476185
64,0,187,42,5.84375,11,0.09275793650793651,4.4395522388059705,12,0.04889012896825396
64,0,185,42,5.78125,10,0.09176587301587301,5.105050505050505,13,0.049844990079365076
64,0,185,45,5.78125,11,0.09176587301587301,4.508089500860585,11,0.0502046130952381
64,0,187,42,5.84375,11,0.09275793650793651,4.7948883856357165,11,0.04047619047619047
