nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
63.7,0.0,181.8,44.5,5.708234126984127,10.7,0.09104902713773681,4.61204449978437,11.1,0.03792971915925785
63.9,0.0,185.7,44.0,5.812251984126984,11.1,0.09240751408090117,4.544178733312206,11.5,0.04583947020516961
64.0,0.0,188.7,39.9,5.896875,13.2,0.09360119047619048,4.674203115279866,12.5,0.035486185527973314
63.9,0.0,184.6,42.8,5.777728174603174,12.4,0.0918570788530466,4.558522825499786,11.0,0.0398523152745623
63.8,0.0,188.3,39.9,5.902926587301588,11.9,0.09400121607782899,4.535577399819621,11.3,0.03435287178466742
64.0,0.0,190.9,49.8,5.965625,11.8,0.09469246031746031,4.562690861237144,10.9,0.03297254539442039
63.9,0.0,184.9,42.0,5.787251984126984,11.3,0.09201068868407579,4.480525693168983,10.7,0.04118001340223562
64.0,0.0,186.6,41.8,5.83125,10.8,0.09255952380952381,4.3795798447840095,10.3,0.038120866402116406
63.9,0.0,187.9,44.8,5.880952380952381,13.1,0.09349718381976446,4.65927058943958,11.1,0.03890841817739139
63.9,0.0,188.1,37.8,5.88735119047619,15.1,0.09360119047619048,4.435351048665934,10.3,0.03272280114049634
