nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
64.0,0.0,795.4,0.0,24.85625,63.7,0.39454365079365084,2.0457403256428135,4.7,0.3447134107622555
64.0,0.0,908.6,0.0,28.39375,58.3,0.45069444444444445,1.9834134781451407,4.2,0.3329593296316145
64.0,0.0,866.2,0.0,27.06875,43.4,0.42966269841269844,1.9609399781106673,4.2,0.2503037553403985
64.0,0.0,787.1,0.0,24.596875,50.0,0.39042658730158736,2.083699878451207,4.9,0.28830222514681353
64.0,0.0,809.9,0.0,25.309375,47.1,0.40173611111111107,2.0845902826825933,4.8,0.27641457324037194
64.0,0.0,942.2,0.0,29.44375,65.6,0.46736111111111106,1.8953688083656401,3.9,0.33371990780849864
64.0,0.0,801.7,0.0,25.053125,50.3,0.39766865079365077,2.0960263978124045,5.0,0.3085427214480357
64.0,0.0,802.1,0.0,25.065625,59.1,0.3978670634920635,1.979221135934641,4.1,0.3202351425216967
64.0,0.0,866.5,0.0,27.078125,50.5,0.4298115079365079,2.01288545188724,4.5,0.290311810217717
64.0,0.0,839.8,0.0,26.24375,44.6,0.4165674603174603,2.0232132316785734,4.5,0.2550449240772527
