nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
64,0,892,0,27.875,56,0.44246031746031744,1.9884101788863693,4,0.32170522925664474
64,0,902,0,28.1875,59,0.44742063492063494,1.9728622631848438,4,0.3310930294268973
64,0,913,0,28.53125,58,0.45287698412698413,1.9632936507936507,4,0.33560456217433415
64,0,917,0,28.65625,58,0.4548611111111111,1.9818948412698412,4,0.3377729583655725
64,0,905,0,28.28125,58,0.4489087301587302,1.9717813051146384,4,0.33376876070026634
64,0,926,0,28.9375,56,0.4593253968253968,1.980406746031746,4,0.3344603763565062
64,0,897,0,28.03125,60,0.44494047619047616,2.019345238095238,5,0.3357155183991777
64,0,914,0,28.5625,60,0.45337301587301587,1.964726631393298,4,0.3434398571919572
64,0,924,0,28.875,57,0.4583333333333333,1.9584278155706727,4,0.3266277306761207
64,0,896,0,28.0,61,0.4444444444444444,2.032986111111111,5,0.3294052737686686
