nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
32,0,311,22,19.4375,39,0.6270161290322581,1.6264274061990212,4,0.46847582749959765
32,0,320,21,20.0,39,0.6451612903225806,1.9059278350515463,5,0.496107415952532
32,0,320,22,20.0,40,0.6451612903225806,1.8105849582172702,4,0.48331027455936076
32,0,320,22,20.0,40,0.6451612903225806,1.6758832565284179,4,0.49328095403218286
32,0,320,22,20.0,41,0.6451612903225806,2.141705069124424,7,0.4780850301316795
32,0,320,23,20.0,40,0.6451612903225806,2.047680412371134,6,0.513334771616995
32,0,311,20,19.4375,41,0.6270161290322581,1.7548209366391185,4,0.4565320681020064
32,0,320,23,20.0,41,0.6451612903225806,1.5594405594405594,4,0.52176392845463
32,0,320,21,20.0,41,0.6451612903225806,1.7261904761904763,4,0.5032110545524944
32,0,302,19,18.875,39,0.6088709677419355,1.956043956043956,7,0.4366214870886004
