nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
16,0,151,15,18.875,24,1.2583333333333333,1.4177777777777778,3,0.6077038933839709
16,0,160,13,20.0,24,1.3333333333333333,1.3875,2,0.6252420995112636
16,0,160,11,20.0,25,1.3333333333333333,1.3791666666666667,2,0.6260753186415594
16,0,160,13,20.0,26,1.3333333333333333,1.3875,2,0.6238323464291543
16,0,160,13,20.0,25,1.3333333333333333,1.3875,2,0.6323984631212435
16,0,160,13,20.0,26,1.3333333333333333,1.4333333333333333,3,0.6590112013782119
16,0,160,13,20.0,26,1.3333333333333333,1.3875,2,0.6396176937365307
16,0,160,12,20.0,26,1.3333333333333333,1.3916666666666666,3,0.6486715843344326
16,0,160,12,20.0,26,1.3333333333333333,1.3833333333333333,2,0.6475780498647423
16,0,160,13,20.0,26,1.3333333333333333,1.3916666666666666,3,0.6447405101588304
