nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
16.0,0.0,159.3,11.6,19.9125,25.9,1.3275000000000001,1.3630515873015872,2.7,0.6837081439189696
16.0,0.0,159.1,13.8,19.8875,25.7,1.3258333333333332,1.5015277777777778,3.8,0.6726571279606656
16.0,0.0,159.1,13.6,19.8875,25.9,1.3258333333333332,1.4152222222222222,2.9,0.6866893647026
16.0,0.0,158.2,14.2,19.775,25.8,1.3183333333333331,1.4286388888888888,3.0,0.6966768966883873
16.0,0.0,159.1,12.8,19.8875,25.4,1.3258333333333332,1.3946944444444445,2.4,0.6354871160559938
16.0,0.0,159.1,13.0,19.8875,25.8,1.3258333333333332,1.3893829560381694,3.0,0.6886981755892376
16.0,0.0,158.2,13.7,19.775,25.6,1.3183333333333334,1.3654538282237778,2.8,0.6783686102917167
16.0,0.0,158.2,12.6,19.775,25.8,1.3183333333333334,1.3849044233807266,3.0,0.6958177551104084
16.0,0.0,158.2,12.5,19.775,25.8,1.3183333333333334,1.3936666666666666,2.7,0.6402505993133677
16.0,0.0,158.4,13.2,19.8,25.6,1.32,1.3608334649815692,2.6,0.6781831944447175
