nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
16,0,160,10,20.0,26,1.3333333333333333,1.3833333333333333,3,0.7154839968900215
16,0,160,13,20.0,26,1.3333333333333333,1.4041666666666666,3,0.6949984830551127
16,0,160,13,20.0,26,1.3333333333333333,1.3555555555555556,3,0.7229549890632148
16,0,151,13,18.875,25,1.2583333333333333,1.3507109004739337,3,0.6684906240473815
16,0,160,11,20.0,26,1.3333333333333333,1.3916666666666666,3,0.728482329749409
16,0,160,15,20.0,26,1.3333333333333333,1.4333333333333333,3,0.6707585667002426
16,0,151,14,18.875,25,1.2583333333333333,1.3955555555555557,3,0.6365970764820584
16,0,160,12,20.0,26,1.3333333333333333,1.3916666666666666,3,0.7122751494157001
16,0,160,11,20.0,26,1.3333333333333333,1.3875,3,0.6875676411008542
16,0,160,14,20.0,26,1.3333333333333333,1.3555555555555556,3,0.7205686946000895
